                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.2405,                0.81642,                 1.1363,                0.86353,                0.93008,                0.96229,                0.66865,                 1.1137,                0.64639,                 1.0407,               0.008878,               0.008878,               0.008878
                     37,                 1.2163,                0.79656,                 1.1272,                 0.8611,                0.95747,                0.96092,                0.66546,                 1.1437,                0.65399,                 1.0535,               0.008845,               0.008845,               0.008845
                     38,                 1.2224,                0.79943,                 1.1228,                0.87487,                 0.9381,                0.95198,                0.64812,                 1.1143,                0.64942,                 1.0423,               0.008812,               0.008812,               0.008812
                     39,                 1.2096,                0.79248,                 1.1238,                0.89672,                0.94683,                   0.96,                0.66463,                 1.1167,                0.66289,                 1.0524,               0.008779,               0.008779,               0.008779
                     40,                 1.2187,                0.79892,                 1.1259,                0.90294,                0.93422,                0.95339,                0.65531,                 1.1221,                0.62919,                 1.0436,               0.008746,               0.008746,               0.008746
                     41,                 1.2086,                 0.7835,                  1.118,                0.88312,                0.95792,                0.95336,                0.66024,                 1.1034,                 0.6176,                 1.0299,               0.008713,               0.008713,               0.008713
                     42,                 1.2009,                0.77244,                 1.1154,                 0.8865,                0.95644,                 0.9592,                0.67277,                 1.0912,                0.60236,                 1.0308,                0.00868,                0.00868,                0.00868
                     43,                 1.2038,                0.77245,                 1.1168,                 0.8406,                0.95839,                  0.954,                 0.6648,                 1.0752,                0.62557,                 1.0326,               0.008647,               0.008647,               0.008647
                     44,                  1.209,                0.77021,                 1.1196,                 0.9171,                0.94197,                0.96518,                0.67463,                 1.0637,                0.57937,                 1.0204,               0.008614,               0.008614,               0.008614
                     45,                 1.2005,                0.76931,                 1.1146,                0.88317,                0.96622,                0.96409,                0.66648,                 1.0797,                0.59605,                 1.0126,               0.008581,               0.008581,               0.008581
                     46,                   1.19,                 0.7554,                 1.1074,                0.91275,                0.93419,                0.95478,                0.66482,                 1.0713,                0.59031,                 1.0262,               0.008548,               0.008548,               0.008548
                     47,                 1.1879,                0.74392,                 1.1051,                0.89106,                0.96791,                0.96582,                0.66866,                 1.0806,                0.57723,                 1.0226,               0.008515,               0.008515,               0.008515
                     48,                 1.1831,                0.74869,                 1.1065,                0.90746,                0.95243,                0.96518,                0.67091,                 1.0844,                0.58368,                 1.0208,               0.008482,               0.008482,               0.008482
                     49,                 1.1897,                0.75537,                 1.1113,                0.89525,                0.96438,                0.96272,                0.67393,                 1.0842,                0.59744,                 1.0209,               0.008449,               0.008449,               0.008449
                     50,                  1.169,                0.73024,                  1.103,                0.90365,                 0.9616,                0.96365,                0.67522,                 1.0891,                0.57902,                 1.0142,               0.008416,               0.008416,               0.008416
                     51,                 1.1785,                0.74194,                 1.0973,                 0.9041,                0.95484,                0.96381,                0.68034,                 1.0655,                0.59282,                 1.0172,               0.008383,               0.008383,               0.008383
                     52,                  1.182,                0.73832,                 1.0998,                0.90603,                0.95223,                0.97111,                0.68365,                 1.0689,                0.56864,                 1.0171,                0.00835,                0.00835,                0.00835
                     53,                 1.1772,                0.74787,                 1.1071,                 0.9133,                 0.9541,                0.96164,                0.67879,                 1.0665,                0.57331,                 1.0185,               0.008317,               0.008317,               0.008317
                     54,                 1.1719,                0.72216,                 1.0984,                0.90832,                0.97336,                0.96614,                0.68652,                 1.0433,                0.55781,                 1.0038,               0.008284,               0.008284,               0.008284
                     55,                 1.1672,                0.73014,                 1.1029,                 0.8988,                0.95187,                0.96887,                0.68116,                 1.0697,                0.56142,                  1.011,               0.008251,               0.008251,               0.008251
                     56,                 1.1627,                0.71609,                 1.0922,                  0.906,                0.96331,                0.96834,                0.68212,                 1.0644,                0.56023,                 1.0155,               0.008218,               0.008218,               0.008218
                     57,                 1.1486,                0.70127,                 1.0857,                0.92882,                0.95607,                0.96596,                0.68547,                 1.0487,                0.54019,                0.99721,               0.008185,               0.008185,               0.008185
                     58,                 1.1558,                0.71811,                 1.0951,                0.91115,                0.95843,                0.96552,                0.68403,                 1.0333,                0.54927,                0.99837,               0.008152,               0.008152,               0.008152
                     59,                 1.1612,                0.70955,                 1.0904,                0.89619,                0.96184,                0.96537,                0.68318,                 1.0455,                0.54386,                 1.0035,               0.008119,               0.008119,               0.008119
                     60,                 1.1466,                0.70921,                 1.0916,                0.90646,                0.95679,                0.96415,                0.67308,                 1.0416,                0.55051,                0.99643,               0.008086,               0.008086,               0.008086
                     61,                 1.1411,                0.70239,                 1.0878,                 0.9069,                0.96755,                 0.9699,                0.69697,                 1.0144,                 0.5293,                0.99025,               0.008053,               0.008053,               0.008053
                     62,                 1.1505,                0.70474,                 1.0876,                0.89353,                0.96882,                0.96374,                0.68071,                 1.0449,                0.54208,                0.99781,                0.00802,                0.00802,                0.00802
                     63,                 1.1509,                0.69914,                 1.0882,                0.89254,                0.96534,                0.95575,                0.67821,                 1.0574,                0.55244,                      1,               0.007987,               0.007987,               0.007987
                     64,                 1.1466,                0.68898,                 1.0865,                0.90387,                0.95281,                0.96389,                0.67803,                 1.0534,                0.54885,                 1.0019,               0.007954,               0.007954,               0.007954
                     65,                 1.1464,                0.68042,                 1.0856,                0.90018,                0.96277,                0.96513,                0.67515,                 1.0577,                0.54333,                 1.0025,               0.007921,               0.007921,               0.007921
                     66,                 1.1459,                 0.6859,                 1.0875,                0.91356,                0.95757,                0.96469,                 0.6868,                 1.0216,                0.53039,                0.99359,               0.007888,               0.007888,               0.007888
                     67,                 1.1333,                0.68123,                  1.077,                0.90099,                0.95696,                0.96683,                 0.6843,                 1.0424,                0.52262,                 0.9935,               0.007855,               0.007855,               0.007855
                     68,                  1.136,                0.68861,                 1.0825,                 0.9364,                0.93811,                0.96785,                0.68848,                 1.0449,                0.53451,                0.99236,               0.007822,               0.007822,               0.007822
                     69,                 1.1315,                0.67529,                 1.0789,                0.89352,                0.96051,                 0.9633,                0.68989,                 1.0245,                0.52943,                0.99278,               0.007789,               0.007789,               0.007789
                     70,                 1.1313,                0.68221,                 1.0721,                0.90954,                0.97202,                0.96724,                0.68847,                 1.0317,                0.52177,                0.99127,               0.007756,               0.007756,               0.007756
                     71,                 1.1274,                 0.6741,                 1.0783,                0.90387,                0.96608,                0.96772,                0.68786,                 1.0511,                0.53265,                 0.9942,               0.007723,               0.007723,               0.007723
                     72,                 1.1342,                0.67705,                  1.086,                0.92026,                0.96855,                0.96632,                0.69174,                 1.0318,                0.51215,                0.99046,                0.00769,                0.00769,                0.00769
                     73,                 1.1286,                0.67333,                 1.0748,                0.91654,                0.96883,                0.96632,                0.69781,                 1.0252,                0.52063,                0.99281,               0.007657,               0.007657,               0.007657
                     74,                 1.1344,                0.67065,                 1.0743,                0.91667,                0.95737,                0.96445,                0.68587,                 1.0269,                0.51355,                0.99269,               0.007624,               0.007624,               0.007624
                     75,                 1.1177,                0.66796,                 1.0702,                0.90387,                0.96861,                0.96592,                0.69038,                  1.012,                 0.5122,                0.99089,               0.007591,               0.007591,               0.007591
                     76,                   1.11,                0.66909,                 1.0793,                0.88211,                0.97461,                0.96936,                0.69332,                 1.0116,                0.50952,                0.99081,               0.007558,               0.007558,               0.007558
                     77,                 1.1224,                0.66592,                 1.0678,                0.90271,                0.96578,                0.96796,                0.69448,                 1.0331,                 0.5058,                0.99116,               0.007525,               0.007525,               0.007525
                     78,                 1.1207,                0.66419,                 1.0731,                0.90636,                0.95179,                0.96901,                0.69832,                 1.0243,                0.50725,                0.98532,               0.007492,               0.007492,               0.007492
                     79,                 1.1174,                0.66353,                 1.0681,                0.90247,                0.97268,                0.96425,                0.68856,                  1.021,                0.50366,                0.98785,               0.007459,               0.007459,               0.007459
                     80,                 1.1151,                0.65299,                 1.0713,                0.89882,                0.96416,                0.96357,                0.69186,                  1.016,                0.49211,                0.98335,               0.007426,               0.007426,               0.007426
                     81,                   1.12,                0.65379,                 1.0775,                0.91736,                0.96672,                  0.968,                0.69868,                 1.0175,                0.49139,                0.98601,               0.007393,               0.007393,               0.007393
                     82,                 1.1063,                0.64655,                 1.0691,                0.93017,                0.95687,                0.97221,                 0.7067,                0.99666,                0.49151,                0.98276,                0.00736,                0.00736,                0.00736
                     83,                 1.1016,                0.63504,                 1.0624,                0.92808,                0.96546,                0.96851,                0.69929,                0.99792,                0.49692,                0.98551,               0.007327,               0.007327,               0.007327
                     84,                 1.0881,                 0.6507,                 1.0667,                0.91422,                0.96893,                0.96822,                0.69707,                 1.0145,                0.48932,                0.98607,               0.007294,               0.007294,               0.007294
                     85,                 1.0964,                0.64642,                 1.0708,                0.90963,                0.96565,                0.96525,                0.70203,                 1.0133,                0.49085,                0.98776,               0.007261,               0.007261,               0.007261
                     86,                 1.1156,                0.64976,                 1.0727,                0.93946,                0.95595,                0.96608,                0.69449,                 1.0257,                0.49769,                  0.991,               0.007228,               0.007228,               0.007228
