                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1974,                0.77732,                 1.1174,                0.90029,                 0.9527,                 0.9606,                0.67939,                 1.0747,                0.64937,                 1.0303,              0.0093466,              0.0093466,              0.0093466
                     36,                 1.1878,                0.77605,                 1.1171,                0.92536,                0.95662,                0.96877,                0.67828,                 1.0971,                0.60806,                 1.0406,              0.0093268,              0.0093268,              0.0093268
                     37,                  1.174,                0.75879,                 1.1155,                0.90995,                0.96389,                0.96543,                0.68177,                 1.0859,                0.59813,                 1.0327,               0.009307,               0.009307,               0.009307
                     38,                 1.1782,                0.76306,                  1.111,                0.88939,                0.96413,                0.96447,                0.66661,                 1.0969,                0.61392,                 1.0367,              0.0092872,              0.0092872,              0.0092872
                     39,                 1.1663,                0.73968,                 1.1071,                0.87814,                0.97721,                0.96615,                0.68278,                 1.0883,                0.60926,                 1.0375,              0.0092674,              0.0092674,              0.0092674
                     40,                 1.1748,                0.75126,                 1.1093,                0.89397,                0.96161,                0.96423,                0.67462,                 1.0651,                0.60626,                 1.0225,              0.0092476,              0.0092476,              0.0092476
                     41,                 1.1641,                0.73645,                 1.1011,                0.90237,                0.94956,                0.96714,                0.68923,                 1.0513,                0.58965,                 1.0171,              0.0092278,              0.0092278,              0.0092278
                     42,                 1.1598,                 0.7383,                 1.1018,                0.89893,                0.96189,                0.96647,                0.69213,                 1.0497,                0.58727,                 1.0094,               0.009208,               0.009208,               0.009208
                     43,                 1.1495,                0.72669,                 1.0967,                0.91415,                0.94655,                0.96895,                0.69807,                 1.0272,                0.57643,                  1.008,              0.0091882,              0.0091882,              0.0091882
                     44,                 1.1607,                0.72877,                 1.1028,                0.91241,                0.95065,                0.96293,                0.68521,                 1.0583,                0.58528,                 1.0079,              0.0091684,              0.0091684,              0.0091684
                     45,                 1.1438,                0.71999,                  1.095,                0.93784,                0.95323,                0.96699,                0.68434,                 1.0558,                0.56638,                 1.0097,              0.0091486,              0.0091486,              0.0091486
                     46,                 1.1453,                0.70674,                 1.0923,                0.92716,                0.95342,                0.97532,                0.69956,                 1.0335,                0.55125,                 1.0037,              0.0091288,              0.0091288,              0.0091288
                     47,                 1.1323,                0.69927,                 1.0867,                0.91877,                0.94979,                0.97215,                0.68235,                 1.0472,                0.55082,                 1.0038,               0.009109,               0.009109,               0.009109
                     48,                 1.1452,                0.70839,                 1.0916,                 0.9117,                0.97443,                0.96747,                 0.6884,                  1.033,                0.55409,                0.99328,              0.0090892,              0.0090892,              0.0090892
                     49,                  1.123,                0.69605,                 1.0874,                0.90067,                0.97357,                0.97404,                0.69888,                 1.0407,                0.54893,                 1.0071,              0.0090694,              0.0090694,              0.0090694
                     50,                  1.128,                0.69309,                 1.0889,                0.92027,                0.95934,                0.96279,                0.70019,                 1.0225,                0.53527,                0.99472,              0.0090496,              0.0090496,              0.0090496
                     51,                 1.1298,                0.69727,                 1.0819,                0.94288,                0.95057,                0.97405,                0.69697,                 1.0231,                0.53891,                0.99903,              0.0090298,              0.0090298,              0.0090298
                     52,                  1.132,                 0.6946,                  1.083,                0.93861,                 0.9459,                0.96958,                0.69445,                 1.0137,                0.52969,                0.99483,                0.00901,                0.00901,                0.00901
                     53,                 1.1329,                0.68951,                 1.0883,                0.93431,                0.95995,                0.97366,                0.70652,                 1.0253,                 0.5227,                0.99756,              0.0089902,              0.0089902,              0.0089902
                     54,                 1.1182,                0.67287,                 1.0793,                 0.9421,                0.95639,                0.96727,                0.69242,                 1.0482,                 0.5319,                0.99877,              0.0089704,              0.0089704,              0.0089704
                     55,                 1.1139,                0.68151,                 1.0877,                0.92691,                0.95543,                0.97198,                0.69311,                 1.0561,                0.53992,                 1.0003,              0.0089506,              0.0089506,              0.0089506
                     56,                  1.118,                0.67817,                 1.0764,                0.93698,                0.94554,                0.96506,                0.69672,                 1.0306,                0.53544,                0.99762,              0.0089308,              0.0089308,              0.0089308
                     57,                 1.1092,                0.66797,                 1.0724,                0.93814,                 0.9568,                0.96481,                0.70078,                 1.0268,                0.51774,                0.99416,               0.008911,               0.008911,               0.008911
                     58,                 1.1083,                0.66893,                 1.0797,                0.91391,                0.96067,                0.96558,                0.69574,                 1.0451,                0.52538,                0.99997,              0.0088912,              0.0088912,              0.0088912
                     59,                 1.1089,                0.67518,                 1.0769,                0.93965,                0.96495,                0.96484,                0.69251,                 1.0347,                0.51241,                0.99636,              0.0088714,              0.0088714,              0.0088714
                     60,                 1.1039,                 0.6707,                 1.0759,                0.92924,                0.95718,                0.97109,                0.70324,                 1.0362,                0.51199,                0.99491,              0.0088516,              0.0088516,              0.0088516
                     61,                 1.1024,                 0.6616,                 1.0772,                0.93035,                0.96188,                0.97226,                0.70485,                 1.0147,                0.51427,                0.98827,              0.0088318,              0.0088318,              0.0088318
                     62,                 1.1011,                  0.657,                  1.072,                0.92074,                0.96813,                0.96816,                0.70161,                 1.0167,                0.51746,                0.99408,               0.008812,               0.008812,               0.008812
                     63,                 1.0988,                0.65188,                 1.0737,                0.93882,                0.94735,                0.96504,                0.70449,                 1.0185,                0.51828,                0.99211,              0.0087922,              0.0087922,              0.0087922
                     64,                 1.0961,                0.64855,                 1.0696,                0.92988,                0.96701,                0.97468,                 0.7044,                  1.028,                0.50286,                0.99112,              0.0087724,              0.0087724,              0.0087724
                     65,                 1.0907,                0.64191,                 1.0646,                0.92677,                0.96719,                0.96916,                0.70555,                 1.0168,                0.49761,                0.99504,              0.0087526,              0.0087526,              0.0087526
                     66,                 1.0981,                0.64581,                 1.0727,                0.93322,                0.96634,                0.97097,                0.70212,                   1.02,                0.50276,                0.98862,              0.0087328,              0.0087328,              0.0087328
                     67,                 1.0967,                0.64744,                 1.0666,                0.90778,                0.96699,                0.96303,                0.69994,                 1.0063,                0.49673,                0.98561,               0.008713,               0.008713,               0.008713
                     68,                 1.0905,                0.63726,                 1.0662,                0.91355,                0.97155,                0.96956,                 0.7127,                 1.0212,                 0.5043,                0.98974,              0.0086932,              0.0086932,              0.0086932
                     69,                 1.0868,                0.63559,                 1.0677,                0.93456,                0.95965,                0.96677,                0.71129,                 1.0156,                0.49477,                 0.9905,              0.0086734,              0.0086734,              0.0086734
